Customer_ID,Customer_Name,Customer_Email,Customer_Age,Customer_Gender,Age_Group
1,Marisa Obrien,carrollallison@example.com,32,Other,26-35
2,Jessica Rios,clarkeashley@example.com,42,Female,36-50
3,Christopher Robbins,gonzalestracy@example.com,48,Other,36-50
4,Christina Dillon,bradleyolson@example.org,27,Female,26-35
5,Alexander Carroll,bradleymark@example.com,67,Female,51+
6,Rebecca Fleming,sheenasmith@example.com,53,Male,51+
7,Jacqueline Wright,donaldkeith@example.org,24,Other,18-25
8,Denise Lee,joelwilliams@example.com,23,Male,18-25
9,Nicolas Wilson,joshua24@example.com,60,Other,51+
10,William Dawson,clopez@example.com,27,Male,26-35
11,Joseph Moreno,mbrown@example.org,48,Male,36-50
12,Brandon Arnold,davisjohn@example.net,51,Male,51+
13,Tamara Hahn,jensenwilliam@example.net,27,Other,26-35
14,Sandra Barnes,gwendolyn51@example.net,65,Other,51+
15,Amy Hill,medinasteven@example.net,48,Female,36-50
16,Elizabeth Foley,amy41@example.net,18,Other,18-25
17,Julia Salazar,watkinsbarbara@example.com,63,Other,51+
18,Joshua Castillo,mooredeborah@example.org,56,Female,51+
19,Wendy Davis,brenda20@example.net,19,Male,18-25
20,Jeffrey Robertson,jameslopez@example.com,39,Female,36-50
21,Suzanne Holmes,rogermcgrath@example.net,28,Other,26-35
22,Tanner Conley,zbond@example.net,66,Male,51+
23,Stephanie Nelson DVM,ljohnson@example.org,54,Female,51+
24,Antonio Scott,carlsonmatthew@example.org,63,Female,51+
25,John Cuevas,lbarron@example.org,19,Male,18-25
26,Gregory Bautista,johnstonbeth@example.com,35,Other,26-35
27,Ryan Sharp,pmercado@example.org,22,Other,18-25
28,Michael Mcdowell,jeffersonmichael@example.net,21,Other,18-25
29,Christine Wang,garciastacy@example.com,30,Other,26-35
30,Austin George,shericase@example.net,67,Male,51+
31,Wendy Roberts,jessicahenderson@example.net,22,Other,18-25
32,Robert Wilson,zstewart@example.org,60,Male,51+
33,Christina Gray,greenkeith@example.net,36,Female,36-50
34,Timothy Lyons,darlenelee@example.org,50,Male,36-50
35,Stacy Jones,fernandezmark@example.org,27,Male,26-35
36,Joann King,jessica10@example.org,24,Other,18-25
37,Ruben Henry,katherinehoward@example.net,65,Female,51+
38,Morgan Wagner,elizabethlamb@example.com,39,Female,36-50
39,Kevin Ingram,victor62@example.net,19,Male,18-25
40,Michael Oneal,stevenburns@example.net,33,Other,26-35
41,Casey Tran,shawn54@example.net,19,Female,18-25
42,Katie Mitchell,sheila78@example.org,35,Male,26-35
43,Justin Giles,woodmargaret@example.org,22,Male,18-25
44,Michael Allison,abowen@example.org,54,Female,51+
45,Donald Gibbs,laura33@example.org,34,Other,26-35
46,Timothy Sutton,david40@example.org,65,Female,51+
47,Cassandra Richards,abigail06@example.com,50,Female,36-50
48,Kristen Perry,bevans@example.org,27,Female,26-35
49,Noah Mcknight,juliepowers@example.org,32,Other,26-35
50,Katie Johnson,thomas46@example.net,44,Male,36-50
51,Kayla Dunn,ramirezphilip@example.net,66,Male,51+
52,Tracy White,wvargas@example.com,64,Male,51+
53,Christian Graves,hgriffin@example.org,54,Male,51+
54,Casey Reed,sabrina61@example.org,37,Male,36-50
55,Carrie Ayers,natasha18@example.com,68,Female,51+
56,Sarah Cole,williamscynthia@example.org,50,Female,36-50
57,Alison Ford,mcgeebrandon@example.org,69,Male,51+
58,Lori Young,pthomas@example.org,47,Other,36-50
59,Kimberly Mack,lwilliamson@example.net,27,Male,26-35
60,Samuel Schroeder,andrew28@example.org,40,Other,36-50
61,Amanda Burton,hannahstephens@example.com,40,Male,36-50
62,Sarah Williams,akelly@example.net,41,Other,36-50
63,Frank Sherman,floresbryan@example.net,64,Female,51+
64,Victoria Parker,tiffany87@example.com,57,Female,51+
65,David Smith,jacob67@example.net,61,Male,51+
66,Jeffrey Hernandez,perezdana@example.org,56,Male,51+
67,John Robertson,gillespiegeorge@example.com,49,Female,36-50
68,Ryan Gonzalez,pwilson@example.com,54,Male,51+
69,Brianna Scott MD,jbranch@example.net,51,Other,51+
70,Michael Day,william07@example.org,46,Female,36-50
71,Eileen Kim,gabriel83@example.com,27,Male,26-35
72,Joseph Costa,calvarez@example.org,37,Other,36-50
73,Tanya Powell,epatel@example.org,34,Female,26-35
74,Philip Davis,fbenjamin@example.org,36,Other,36-50
